"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-08-15 00:49:46"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -73.95035462","40.80240343","Manhattan","10026","113","WEST 116 STREET","0","1573356","110","05/31/2022","9","1399591","18615669","Not Completed",""
" -73.94955909","40.80443134","Manhattan","10026","126","WEST 119 STREET","0","1576264","110","05/31/2022","9","1402499","9150127","Not Completed",""
" -73.96420296","40.80566767","Manhattan","10025","541","WEST 113 STREET","0","1576881","109","05/31/2022","7","1403116","18051595","Not Completed",""
" -73.96336460","40.80531323","Manhattan","10025","517","WEST 113 STREET","0","1576885","109","05/31/2022","7","1403120","14197468","Not Completed",""
" -73.96324781","40.80526385","Manhattan","10025","511","WEST 113 STREET","0","1576886","109","05/31/2022","7","1403121","14197467","Not Completed",""
" -73.94901447","40.80183598","Manhattan","10026","55","WEST 116 STREET","0","1575612","110","05/31/2022","9","0","18575177","Not Completed",""
" -73.95188245","40.80284019","Manhattan","10026","160","WEST 116 STREET","0","1573376","110","05/31/2022","9","0","18206671","Not Completed",""
" -73.84618716","40.87481420","Bronx","10469","3312","CORSA AVENUE","0","1577075","212","05/31/2022","12","1403310","9514960","Completed","2022-01-13 00:00:00"
" -73.96379055","40.80384319","Manhattan","10025","503","WEST 111 STREET","0","1575580","109","05/31/2022","7","0","17990381","Not Completed",""
" -73.96266197","40.80501617","Manhattan","10025","501","WEST 113 STREET","0","1576889","109","05/31/2022","7","1403124","18051601","Not Completed",""
" -73.80872802","40.73197462","Queens","11365","158-40","JEWEL AVENUE","0","1580843","408","05/31/2022","24","0","15133257","Completed","2022-06-29 00:00:00"
